StreamSegmentId,Parameter,Description,UOMId,SamplingDurationMinutes,SamplingFrequencySeconds,UDL,useUDL,LDL,useLDL,MDL,useMDL,PersistCount,usePCount,PersistThresh,usePThresh,Anom1Thresh,useA1Check,Anom2Thresh,useA2Check,Anom3Thresh,useA3Check,Anom4Thresh,useA4Check,PersistWindowSize,Anom1WindowSize,Anom2WindowSize,Anom3WindowSize,Anom4WindowSize,Thresh1,Thresh2,Thresh3,Thresh4,WindowSize1,WindowSize2,WindowSize3,WindowSize4,PerformCheck1,PerformCheck2,PerformCheck3,PerformCheck4,PerformCheck5,PerformCheck6,PerformCheck7
47,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
48,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
55,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
56,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
63,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
64,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
71,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
72,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
79,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
80,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
87,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
88,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
95,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
96,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
103,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
104,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
111,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
112,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
119,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
120,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
127,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
128,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
135,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
136,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
143,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
144,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
151,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
152,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
159,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
160,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
167,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
168,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
175,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
176,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
183,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
184,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
191,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
192,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
202,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
204,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
207,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
208,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
215,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
216,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
223,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
224,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
231,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
232,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
239,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
240,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
247,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
248,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
255,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
256,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
263,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
264,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
271,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
272,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
279,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
280,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
287,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
288,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
295,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
296,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
303,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
304,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
311,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
312,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
319,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
320,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
327,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
328,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
335,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
336,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
343,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
344,85101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
351,88101,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,6,1,0.001,0,2,1,7,1,4,1,4,1,6,12,12,12,24,,,,,,,,,,,1,,,,
