MonitorId,Parameter,Description,UOMId,SamplingDurationMinutes,SamplingFrequencySeconds,computeQuality,UDL,useUDL,LDL,useLDL,MDL,useMDL,PersistCount,usePCount,PersistThresh,useAdj,usePThresh,Anom1Thresh,useA1Check,Anom2Thresh,useA2Check,Anom3Thresh,useA3Check,Anom4Thresh,useA4Check,Anom7Thresh,useA7Check,PersistWindowSize,Anom1WindowSize,Anom2WindowSize,Anom3WindowSize,Anom4WindowSize,Thresh1,Thresh2,Thresh3,Thresh4,WindowSize1,WindowSize2,WindowSize3,WindowSize4,PerformCheck1,PerformCheck2,PerformCheck3,PerformCheck4,PerformCheck5,PerformCheck6,PerformCheck7,StreamSegmentId
47,88101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26208
47,85101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26207
48,88101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26216
48,85101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26215
49,88101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26224
49,85101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26223
50,88101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26232
50,85101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26231
51,88101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26240
51,85101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26239
