StreamSegmentId,MonitorId,Parameter,Description,UOMId,SamplingDurationMinutes,SamplingFrequencySeconds,UDL,useUDL,LDL,useLDL,MDL,useMDL,PersistCount,usePCount,PersistThresh,useAdj,usePThresh,Anom1Thresh,useA1Check,Anom2Thresh,useA2Check,Anom3Thresh,useA3Check,Anom4Thresh,useA4Check,PersistWindowSize,Anom1WindowSize,Anom2WindowSize,Anom3WindowSize,Anom4WindowSize,Thresh1,Thresh2,Thresh3,Thresh4,WindowSize1,WindowSize2,WindowSize3,WindowSize4,PerformCheck1,PerformCheck2,PerformCheck3,PerformCheck4,PerformCheck5,PerformCheck6,PerformCheck7
110,APMJD1KN,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
114,APMJD1KN,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
118,APMJD1KN,43104,check4,8,15,20,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
119,AYR1L2NW,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
120,AYR1L2NW,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
124,AYR1L2NW,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
128,AYR1L2NW,43104,check4,8,15,20,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
129,AD6GXX7V,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
130,AD6GXX7V,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
134,AD6GXX7V,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
138,AD6GXX7V,43104,check4,8,15,20,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
139,A0QKRQ9J,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
140,A0QKRQ9J,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
144,A0QKRQ9J,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
148,A0QKRQ9J,43104,check4,8,15,20,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
149,AH7T3YZZ,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
150,AH7T3YZZ,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
154,AH7T3YZZ,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
158,AH7T3YZZ,43104,check4,8,15,20,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
159,AC9YFK88,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
160,AC9YFK88,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
164,AC9YFK88,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
168,AC9YFK88,43104,check4,8,15,20,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
169,A0TTHZ0D,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
170,A0TTHZ0D,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
174,A0TTHZ0D,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
178,A0TTHZ0D,43104,check4,8,15,20,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
179,AF8F1H03,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
180,AF8F1H03,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
184,AF8F1H03,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
188,AF8F1H03,43104,check4,8,15,20,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
189,A81W00JP,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
190,A81W00JP,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
194,A81W00JP,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,
